
Name	Data Type	Type	Line	Const	Initialized	Used
x	int	VARIABLE	1	NO	NO	YES
z	int	CONSTANT	4	YES	YES	YES
y	int	VARIABLE	5	NO	NO	YES
test	enum	ENUM	7	YES	YES	YES
test	enum	ENUM	8	YES	YES	YES
test	enum	ENUM	9	YES	YES	YES
test	enum	ENUM	10	YES	YES	YES
r	float	VARIABLE	12	NO	YES	NO
test	enum	ENUM	27	YES	YES	YES
i	int	VARIABLE	39	NO	YES	YES
test	enum	ENUM	145	YES	YES	YES
_test1	int	VARIABLE	223	NO	NO	NO
t	enum test	VARIABLE	225	NO	YES	YES
